spec_type,spec_text,code_target,similarity
UseCase,系统用例：用户登录,用户控制器::处理登录请求,0.695
UseCase,系统用例：学生选课,服务器服务::获取学生课表,0.686
UseCase,系统用例：查看个人课表,服务器服务::获取学生课表,0.638
UseCase,系统用例：查询成绩,用户控制器::处理成绩查询请求,0.627
UseCase,系统用例：查看所授课程及学生名单,服务器服务::获取学生课表,0.724
UseCase,系统用例：管理课程信息,用户控制器::处理课程管理指令,0.724
UseCase,系统用例：管理用户权限,用户控制器::处理权限管理指令,0.754
Actor-UseCase,角色 学生 执行用例 学生选课,服务器服务::获取学生课表,0.594
Actor-UseCase,角色 学生 执行用例 查看个人课表,服务器服务::获取学生课表,0.666
Actor-UseCase,角色 学生 执行用例 查询成绩,用户控制器::处理成绩查询请求,0.686
Actor-UseCase,角色 教师 执行用例 查看所授课程及学生名单,服务器服务::获取教师授课信息,0.663
Actor-UseCase,角色 管理员 执行用例 管理课程信息,用户控制器::处理课程管理指令,0.743
Actor-UseCase,角色 管理员 执行用例 管理用户权限,用户控制器::处理权限管理指令,0.792
Message,"消息传递：学生 发送 登录请求(用户名, 密码):待验证 给 教务系统",用户控制器::处理登录请求,0.626
Message,"消息传递：教务系统 发送 验证用户名和密码数据传输(用户名, 密码):已发送 给 服务器",服务器服务::加密存储用户信息,0.643
Message,消息传递：服务器 发送 验证结果 给 教务系统,服务器服务::获取教师授课信息,0.727
Message,消息传递：教务系统 发送 引导进入对应功能模块:无返回 给 学生,服务器服务::获取学生课表,0.666
Message,消息传递：教务系统 发送 提示用户名或密码错误:无返回 给 学生,服务器服务::获取学生课表,0.541
Message,消息传递：学生 发送 发起选课请求:已提交 给 教务系统,服务器服务::获取学生课表,0.652
Message,消息传递：教务系统 发送 检查课程名额和选课条件数据传输:已完成 给 服务器,服务器服务::获取教师授课信息,0.776
Message,消息传递：服务器 发送 检查结果 给 教务系统,服务器服务::获取教师授课信息,0.733
Message,消息传递：教务系统 发送 提示选课成功，更新课表:无返回 给 学生,服务器服务::更新课程信息,0.634
Message,消息传递：教务系统 发送 提示选课失败原因:无返回 给 学生,服务器服务::获取学生课表,0.532
Message,消息传递：学生 发送 课表查询请求:已提交 给 教务系统,服务器服务::获取学生课表,0.706
Message,消息传递：教务系统 发送 提取学生课表信息数据传输:已完成 给 服务器,服务器服务::获取学生课表,0.795
Message,消息传递：服务器 发送 学生课表信息 给 教务系统,服务器服务::获取学生课表,0.812
Message,消息传递：教务系统 发送 显示学生个人课表:无返回 给 学生,服务器服务::获取学生课表,0.638
Message,消息传递：学生 发送 成绩查询请求:已提交 给 教务系统,服务器服务::获取学生成绩,0.695
Message,消息传递：教务系统 发送 提取学生成绩信息数据传输:已完成 给 服务器,服务器服务::获取学生成绩,0.789
Message,消息传递：服务器 发送 学生成绩信息 给 教务系统,服务器服务::获取学生成绩,0.809
Message,消息传递：教务系统 发送 显示学生成绩列表:无返回 给 学生,服务器服务::获取学生课表,0.63
Message,消息传递：教师 发送 授课信息查询请求:已提交 给 教务系统,服务器服务::获取教师授课信息,0.703
Message,消息传递：教务系统 发送 提取教师所授课程及学生名单信息数据传输:已完成 给 服务器,服务器服务::获取教师授课信息,0.821
Message,消息传递：服务器 发送 教师所授课程及学生名单信息 给 教务系统,服务器服务::获取教师授课信息,0.856
Message,消息传递：教务系统 发送 显示教师所授课程列表及学生名单:无返回 给 教师,服务器服务::获取教师授课信息,0.666
Message,消息传递：管理员 发送 课程管理指令:已下达 给 教务系统,用户控制器::处理课程管理指令,0.753
Message,消息传递：教务系统 发送 课程信息数据传输:已完成 给 服务器,服务器服务::获取教师授课信息,0.766
Message,消息传递：服务器 发送 操作结果 给 教务系统,服务器服务::获取教师授课信息,0.767
Message,消息传递：教务系统 发送 提示操作成功（课程操作成功分支）:无返回 给 管理员,用户控制器::处理课程管理指令,0.627
Message,消息传递：教务系统 发送 提示操作失败原因（课程操作失败分支）:无返回 给 管理员,用户控制器::处理课程管理指令,0.569
Message,消息传递：管理员 发送 权限管理指令:已下达 给 教务系统,用户控制器::处理课程管理指令,0.726
Message,消息传递：教务系统 发送 用户权限信息数据传输:已完成 给 服务器,服务器服务::获取教师授课信息,0.687
Message,消息传递：服务器 发送 操作结果 给 教务系统,服务器服务::获取教师授课信息,0.767
Message,消息传递：教务系统 发送 提示操作成功（权限操作成功分支）:无返回 给 管理员,用户控制器::处理课程管理指令,0.627
Message,消息传递：教务系统 发送 提示操作失败原因（权限操作失败分支）:无返回 给 管理员,用户控制器::处理课程管理指令,0.567
Control,控制结构：alt 条件是 登录验证成功,用户控制器::处理权限管理指令,0.572
Control,控制结构：alt 条件是 登录验证失败,客户端界面::显示错误提示,0.613
Control,控制结构：alt 条件是 选课成功,用户控制器::处理课程管理指令,0.689
Control,控制结构：alt 条件是 选课失败,用户控制器::处理课程管理指令,0.588
Control,控制结构：alt 条件是 课程操作成功,用户控制器::处理课程管理指令,0.71
Control,控制结构：alt 条件是 课程操作失败,用户控制器::处理课程管理指令,0.591
Control,控制结构：alt 条件是 权限操作成功,用户控制器::处理权限管理指令,0.665
Control,控制结构：alt 条件是 权限操作失败,用户控制器::处理权限管理指令,0.576
