spec_type,spec_text,code_target,similarity
UseCase,系统用例：物品登记,失物招领系统服务::确认物品登记信息,0.702
UseCase,系统用例：失物发布,失物招领系统服务::处理可疑发布操作,0.728
UseCase,系统用例：信息匹配与推荐,失物招领系统服务::进行信息匹配与推荐,0.741
UseCase,系统用例：联系与认领管理,安全服务::验证管理员身份,0.654
UseCase,系统用例：管理后台与审核功能,安全服务::检查管理员权限,0.663
UseCase,系统用例：处理可疑发布,失物招领系统服务::处理可疑发布操作,0.77
UseCase,系统用例：处理异常信息,失物招领系统服务::审核信息,0.731
UseCase,系统用例：上传图片,用户管理::上传物品照片,0.804
UseCase,系统用例：填写联系人信息,用户管理::填写联系人信息,0.69
Actor-UseCase,角色 普通用户 执行用例 物品登记,用户管理::提交物品登记请求,0.72
Actor-UseCase,角色 普通用户 执行用例 失物发布,用户管理::提交失物认领请求,0.695
Actor-UseCase,角色 普通用户 执行用例 信息匹配与推荐,用户管理::请求信息匹配与推荐,0.767
Actor-UseCase,角色 普通用户 执行用例 联系与认领管理,用户管理::填写联系人信息,0.645
Actor-UseCase,角色 普通用户 执行用例 上传图片,用户管理::上传物品照片,0.817
Actor-UseCase,角色 普通用户 执行用例 填写联系人信息,用户管理::填写联系人信息,0.724
Actor-UseCase,角色 管理员 执行用例 管理后台与审核功能,安全服务::检查管理员权限,0.664
Actor-UseCase,角色 管理员 执行用例 处理可疑发布,用户管理::处理可疑发布操作,0.667
Actor-UseCase,角色 管理员 执行用例 处理异常信息,用户管理::处理可疑发布操作,0.677
Message,"消息传递：普通用户 发送 提交物品登记请求(物品名称, 描述, 地点, 时间, 照片):无 给 失物招领系统",用户管理::提交物品登记请求,0.757
Message,消息传递：失物招领系统 发送 确认信息:成功 给 普通用户,失物招领系统服务::确认失物发布信息,0.718
Message,"消息传递：普通用户 发送 提交失物发布请求（描述, 地点, 时间, 联系方式）:无 给 失物招领系统",用户管理::提交失物发布请求,0.788
Message,消息传递：失物招领系统 发送 确认信息:成功 给 普通用户,失物招领系统服务::确认失物发布信息,0.718
Message,消息传递：普通用户 发送 请求信息匹配与推荐（特征）:无 给 失物招领系统,用户管理::提交失物认领请求,0.74
Message,消息传递：失物招领系统 发送 信息匹配与推荐结果(结果列表) 给 普通用户,失物招领系统服务::确认失物发布信息,0.677
Message,消息传递：失物招领系统 发送 推送推荐信息（成功，返回候选列表） 给 普通用户,用户管理::提交失物发布请求,0.717
Message,消息传递：失物招领系统 发送 提示无匹配项 给 普通用户,用户管理::提交失物认领请求,0.665
Message,"消息传递：普通用户 发送 发送私信或留言请求（内容, 目标用户）:无 给 失物招领系统",用户管理::发送私信或留言请求,0.781
Message,消息传递：失物招领系统 发送 提供私信或留言的沟通渠道（已送达） 给 普通用户,失物招领系统服务::提供私信或留言的沟通渠道,0.78
Message,"消息传递：普通用户 发送 提交失物认领请求（物品ID, 验证信息）:无 给 失物招领系统",用户管理::提交失物认领请求,0.784
Message,消息传递：失物招领系统 发送 认领结果反馈（认领中） 给 普通用户,用户管理::提交失物认领请求,0.71
Message,消息传递：失物招领系统 发送 拒绝认领，提示重新提供信息或联系管理员 给 普通用户,失物招领系统服务::提供私信或留言的沟通渠道,0.682
Message,消息传递：管理员 发送 提交信息审核请求（信息ID）:无 给 失物招领系统,用户管理::提交信息审核请求,0.647
Message,消息传递：失物招领系统 发送 审核结果（已审核） 给 管理员,失物招领系统服务::处理可疑发布操作,0.669
Message,消息传递：管理员 发送 发布系统管理操作请求:无 给 失物招领系统,失物招领系统服务::处理可疑发布操作,0.688
Message,消息传递：管理员 发送 处理可疑发布操作:无 给 失物招领系统,失物招领系统服务::处理可疑发布操作,0.748
Message,消息传递：失物招领系统 发送 处理结果 给 管理员,失物招领系统服务::处理可疑发布操作,0.719
Message,消息传递：管理员 发送 提交处理异常信息请求:无 给 失物招领系统,用户管理::提交失物发布请求,0.686
Message,消息传递：失物招领系统 发送 处理结果 给 管理员,失物招领系统服务::处理可疑发布操作,0.719
Message,消息传递：普通用户 发送 上传物品照片:无 给 失物招领系统,用户管理::上传物品照片,0.735
Message,消息传递：失物招领系统 发送 确认信息:成功 给 普通用户,失物招领系统服务::确认失物发布信息,0.718
Message,消息传递：普通用户 发送 填写联系人信息:无 给 失物招领系统,用户管理::发送私信或留言请求,0.658
Message,消息传递：失物招领系统 发送 确认信息:成功 给 普通用户,失物招领系统服务::确认失物发布信息,0.718
Control,控制结构：alt 条件是 信息匹配成功,失物招领系统服务::进行信息匹配与推荐,0.66
Control,控制结构：alt 条件是 信息匹配失败,容错服务::提供错误信息,0.607
Control,控制结构：alt 条件是 验证信息匹配,安全服务::验证管理员身份,0.646
Control,控制结构：alt 条件是 验证信息不匹配,容错服务::提供错误信息,0.585
